spotify_id,name,followers,popularity,genres
0NIIxcxNHmOoyBx03SfTCD,Tinashe,2440457.0,69,"['alternative r&b', 'dance pop', 'electropop', 'metropopolis', 'pop', 'post-teen pop', 'r&b', 'rap', 'uk pop', 'urban contemporary']"
27T030eWyCQRmDyuvr1kxY,Scorpions,5776554.0,72,"['album rock', 'german hard rock', 'german metal', 'german rock', 'hard rock', 'metal', 'rock']"
66NmU5epI0ONGmdCRbLpmW,Feby Putri,1126780.0,65,['indonesian pop']
4kYSro6naA4h99UJvo89HB,Cardi B,20361435.0,80,"['dance pop', 'pop', 'rap']"
2GHclqNVjqGuiE5mA7BEoc,Common,833451.0,62,"['alternative hip hop', 'chicago rap', 'conscious hip hop', 'gangster rap', 'hip hop', 'neo soul', 'political hip hop', 'rap']"
7DMveApC7UnC2NPfPvlHSU,Cheat Codes,2087675.0,71,"['dance pop', 'edm', 'electro house', 'electropop', 'pop', 'pop dance', 'tropical house', 'uk pop']"
6hyMWrxGBsOx6sWcVj1DqP,Sebastian Ingrosso,938110.0,62,"['edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']"
0tzSBCPJZmHTdOA3ZV2mN3,CL,1064466.0,60,['k-pop']
1cUpGtXcSQsovNYEZOQgOG,Nanpa Básico,1834105.0,71,"['colombian hip hop', 'mexican hip hop']"
3uCu2WgyG0Iw50ylOYDSpH,Maria Gadú,1298862.0,59,"['mpb', 'nova mpb', 'umbanda']"
5f7VJjfbwm532GiveGC0ZK,Lil Baby,11530234.0,89,"['atl hip hop', 'atl trap', 'rap', 'trap']"
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,27956268.0,82,"['dance pop', 'pop', 'post-teen pop', 'uk pop']"
5EvFsr3kj42KNv97ZEnqij,Shaggy,1795159.0,72,"['dance pop', 'pop rap', 'reggae fusion']"
32ogthv0BdaSMPml02X9YB,The Cinematic Orchestra,577750.0,63,"['downtempo', 'electronica', 'ninja', 'nu jazz']"
4QrBoWLm2WNlPdbFhmlaUZ,KEVVO,448041.0,65,"['perreo', 'reggaeton', 'reggaeton flow', 'trap latino']"
5uCXJWo3WoXgqv3T1RlAbh,Katie Melua,483771.0,58,['uk pop']
04FsFHujpuqonrPXZrEJlK,Dev Negi,532150.0,64,"['desi pop', 'filmi', 'modern bollywood']"
3k68C6mNMJL6OaAdWeW2ZF,Diego & Victor Hugo,2195484.0,71,"['arrocha', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']"
2xaAOVImG2O6lURwqperlD,Catfish and the Bottlemen,955039.0,63,"['modern alternative rock', 'modern rock', 'rock', 'stomp pop', 'welsh rock']"
0L1f9i3L3fkMNENljDOsjG,Rocco Hunt,1443175.0,67,"['italian hip hop', 'italian pop', 'pop virale italiano', 'rap napoletano']"
3QLMLmISoZnFxUdzSoT6JB,Gökhan Özen,447893.0,49,"['deep turkish pop', 'turkish pop']"
2IHoZ3RrDJIikMRsYgHjhy,Kizo,782321.0,65,"['polish hip hop', 'polish trap']"
73c2MjCAFNyKYIs7nBlqG2,Marisela,1539543.0,66,"['latin pop', 'ranchera']"
3J7r4VsNmuWixU0nXvyPd8,Kalash,470056.0,61,"['french hip hop', 'pop urbaine', 'rap antillais', 'trap antillais']"
2eRNMtoi82UZUuaL6naDjA,Cœur De Pirate,451651.0,57,"['chanson', 'french pop', 'nouvelle chanson francaise']"
0MZ55DwuMQ1B2TXq9lcrE4,Kraftklub,762956.0,63,"['german indie', 'german pop', 'german rock']"
1yzgJmZf5CxtFfGfRFm4Si,Gajendra Verma,1688081.0,62,"['desi pop', 'filmi', 'modern bollywood']"
39yVoqm6sYFvvqF1RciUVf,Carlos Rivera,3727370.0,72,"['latin arena pop', 'latin pop', 'mexican pop']"
6ghiFYcwn2Vzl6K50U0UPz,Michael Ray,430842.0,56,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
1KQJOTeIMbixtnSWY4sYs2,Paky,491113.0,71,"['italian hip hop', 'trap italiana']"
5rhznZjKfSxtKVqB0JZtpC,Bonde R300,575282.0,42,"['funk carioca', 'funk paulista']"
1S2S00lgLYLGHWA44qGEUs,Gen Hoshino,1412333.0,64,"['j-acoustic', 'j-pop', 'japanese singer-songwriter']"
78xUyw6FkVZrRAtziFdtdu,The Roots,1216070.0,59,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'philly rap', 'political hip hop', 'southern hip hop']"
4Sm7JCttzWMwHJtb3UJ8SY,Mocedades,584481.0,56,"['bolero', 'cancion melodica', 'latin pop', 'pop romantico', 'ranchera']"
0WleeEe3UurwlNbDGhb5Yz,ALLMO$T,821638.0,53,"['opm', 'pinoy hip hop', 'pinoy r&b', 'tagalog rap']"
6xF3XdxG7VHRmQmTJxRqX8,Manu Gavassi,724049.0,53,"['funk carioca', 'nova mpb', 'pop', 'pop nacional', 'post-teen pop']"
2h93pZq0e7k5yf4dywlkpM,Frank Ocean,9951370.0,83,"['hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']"
6DiAVYfSzZi8h1fGuTD6LI,Jimmy Bondoc,409546.0,46,"['classic opm', 'opm']"
2QslFlDyZVpLYwfqyRDkNs,Onur Can Özcan,1079883.0,60,"['turkce slow sarkilar', 'turkish pop']"
04QHNiih9ZesPvals6II1h,MC Marks,887752.0,69,"['funk carioca', 'funk consciente', 'funk ostentacao', 'funk paulista']"
1OXHqAK6r5mF0FV94nc0pD,OG-ANIC,659693.0,45,['thai hip hop']
3cjEqqelV9zb4BYE3qDQ4O,EXO,9151459.0,69,"['k-pop', 'k-pop boy group']"
2ufQfSFDFXfMS7MEMzdGZE,Białas,520650.0,66,"['polish hip hop', 'polish trap']"
4KWTAlx2RvbpseOGMEmROg,R.E.M.,3671605.0,72,"['alternative rock', 'athens indie', 'permanent wave', 'pop rock', 'rock']"
74YbW6s8CZdaYLxJU9HeS7,Mister You,968075.0,61,"['francoton', 'french hip hop', 'pop urbaine', 'rap francais']"
6YqdtpUutxodni6lUD4stM,WANIMA,1128711.0,60,"['j-pop', 'j-punk', 'j-rock', 'japanese pop punk', 'japanese punk rock']"
3cbd5GWGOknxmFAe77MDbk,ELLEGARDEN,474737.0,54,"['j-pop', 'j-poprock', 'j-rock', 'japanese emo', 'japanese pop punk', 'japanese punk rock']"
4QFG9KrGWEbr6hNA58CAqE,Aleman,4091128.0,74,"['mexican hip hop', 'trap mexicano']"
0AsThoR4KZSVktALiNcQwW,Chloe x Halle,1857184.0,60,"['alternative r&b', 'dance pop', 'pop', 'post-teen pop', 'r&b', 'rap', 'urban contemporary']"
6vWDO969PvNqNYHIOW5v0m,Beyoncé,32087569.0,88,"['dance pop', 'pop', 'r&b']"
2TM0qnbJH4QPhGMCdPt7fH,Neck Deep,807103.0,64,"['pop punk', 'uk pop punk']"
5re6NsyXzHg6uvNimzQ3F6,Jota Quest,1988986.0,63,"['brazilian rock', 'mpb', 'pop rock brasileiro', 'rock mineiro', 'rock nacional brasileiro']"
40KlwpvpKEQtZTJgbml8lT,Teoman,1866271.0,64,"['turkish pop', 'turkish rock']"
3KNIG74xSTc3dj0TRy7pGX,BLEU,1159612.0,67,"['alabama rap', 'pop rap', 'r&b', 'rap', 'trap']"
31czVneIywpUwJTNOVviJx,Sinan Akçıl,407157.0,48,"['deep turkish pop', 'turkish pop', 'turkish trap pop']"
0huGjMyP507tBCARyzSkrv,Cordae,1803987.0,68,"['dmv rap', 'hip hop', 'rap', 'trap', 'underground hip hop']"
4h8pGxEIOi7j4me1yhYxlD,LSP,676616.0,56,"['belarusian hip hop', 'russian alt pop', 'russian hip hop', 'russian pop']"
2Hjj68yyUPiC0HKEOigcEp,Jesse McCartney,922306.0,61,"['dance pop', 'neo mellow', 'pop', 'post-teen pop']"
06nevPmNVfWUXyZkccahL8,Gregory Porter,555161.0,60,"['contemporary vocal jazz', 'jazz pop', 'neo soul', 'vocal jazz']"
2UqRkW2wfEkZmyvKyTTv2W,Ulises Bueno,1542894.0,59,['cuarteto']
5hHcAWKNV84BEbkRnbQ6A7,Kensington,420722.0,57,"['dutch indie rock', 'dutch pop', 'dutch rock']"
5p7mWeX4RlvqBCxylfiXdE,KC Rebell,1159849.0,63,"['deep german hip hop', 'german drill', 'german hip hop']"
